Annee,Mois_num,Mois,Accidents,Morts,Blesses,Date
2015,1,Janvier,621,102,847,2015-01-01
2015,2,Février,544,98,775,2015-02-01
2015,3,Mars,583,87,871,2015-03-01
2015,4,Avril,620,104,839,2015-04-01
2015,5,Mai,700,97,1041,2015-05-01
2015,6,Juin,600,129,959,2015-06-01
2015,7,Juillet,694,163,1182,2015-07-01
2015,8,Août,681,138,1145,2015-08-01
2015,9,Septembre,629,129,955,2015-09-01
2015,10,Octobre,557,139,824,2015-10-01
2015,11,Novembre,502,117,686,2015-11-01
2015,12,Décembre,495,104,759,2015-12-01
2016,1,Janvier,639,110,942,2016-01-01
2016,2,Février,641,96,914,2016-02-01
2016,3,Mars,629,102,945,2016-03-01
2016,4,Avril,651,103,921,2016-04-01
2016,5,Mai,629,121,911,2016-05-01
2016,6,Juin,613,94,956,2016-06-01
2016,7,Juillet,664,152,1107,2016-07-01
2016,8,Août,615,174,1049,2016-08-01
2016,9,Septembre,634,123,1007,2016-09-01
2016,10,Octobre,543,119,766,2016-10-01
2016,11,Novembre,505,123,771,2016-11-01
2016,12,Décembre,464,126,746,2016-12-01
2017,1,Janvier,647,124,907,2017-01-01
2017,2,Février,537,89,738,2017-02-01
2017,3,Mars,663,85,1028,2017-03-01
2017,4,Avril,624,110,878,2017-04-01
2017,5,Mai,608,111,868,2017-05-01
2017,6,Juin,549,124,802,2017-06-01
2017,7,Juillet,674,139,1164,2017-07-01
2017,8,Août,641,169,1029,2017-08-01
2017,9,Septembre,518,102,799,2017-09-01
2017,10,Octobre,547,102,783,2017-10-01
2017,11,Novembre,530,100,799,2017-11-01
2017,12,Décembre,434,114,620,2017-12-01
2018,1,Janvier,605,94,845,2018-01-01
2018,2,Février,548,88,821,2018-02-01
2018,3,Mars,540,92,801,2018-03-01
2018,4,Avril,495,108,700,2018-04-01
2018,5,Mai,452,76,767,2018-05-01
2018,6,Juin,585,127,916,2018-06-01
2018,7,Juillet,540,135,882,2018-07-01
2018,8,Août,478,101,803,2018-08-01
2018,9,Septembre,445,98,575,2018-09-01
2018,10,Octobre,398,95,551,2018-10-01
2018,11,Novembre,388,87,568,2018-11-01
2018,12,Décembre,410,104,647,2018-12-01
2019,1,Janvier,566,90,790,2019-01-01
2019,2,Février,513,76,634,2019-02-01
2019,3,Mars,506,98,703,2019-03-01
